baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G01410	30.9370930585329	-0.104915947310328	0.553924642610744	-0.18940472988499	0.849775617653572	0.982274760303356
AT1G01420	453.091511515501	-0.0727321766436208	0.385615007441401	-0.188613449269537	0.850395791024484	0.982469718944098
AT1G01430	2639.28383724674	0.116684213140845	0.24865160758598	0.469267881569991	0.63887817000899	0.943963831267215
AT1G01440	4540.03608939722	0.00678103090296107	0.175549776868283	0.0386273968781456	0.969187459038461	0.996395857734648
AT1G01448	1355.98715466601	-0.052007789368958	0.318013256759889	-0.163539689819364	0.87009352581883	0.984858340235726
AT1G01453	486.328347656429	0.241567721372017	0.371019478000673	0.651091750421737	0.514987261494791	0.91429620574687
AT1G01460	411.121764546498	-0.594764445392919	0.500764889493918	-1.18771195399502	0.234946912546567	0.775673342125306
AT1G01470	31761.6930735639	0.304500346669161	0.26365656499462	1.15491281878521	0.248126129490316	0.785774664162632
AT1G01480	823.157099176826	-0.676197142957381	0.336168804235218	-2.01148094183137	0.0442746813730264	0.456355119850186
AT1G01490	13980.3428580444	-0.0802920172261305	0.196984255986251	-0.407606266927925	0.683562762613508	0.953971045781447
AT1G01500	2647.21355870131	-0.294572866967927	0.185562008109911	-1.58746324190158	0.112407765768686	0.636676478174597
AT1G01510	6398.82925241618	-0.028973456044195	0.107507277376338	-0.269502276973968	0.787543190245612	0.973711167219705
AT1G01520	708.499490484424	-0.394412823986042	0.228084448271899	-1.72924031855019	0.0837660931176918	0.571182794182724
AT1G01530	65.2522082418909	-0.270466142982767	0.447136642516024	-0.60488476511534	0.545255566558587	0.922073784009395
AT1G01540	8147.29665283301	0.0144106090725608	0.164623365485662	0.087536839196839	0.93024480435999	0.992396927615523
AT1G01550	43330.2374182582	-0.0324708003575763	0.119075893641633	-0.272689957341822	0.785091555126284	0.973711167219705
AT1G01560	20782.5121980801	0.0928606642247223	0.219686218894051	0.422696811353043	0.672516482337896	0.951059170488398
AT1G01570	333.947967594384	0.546712947333686	0.208461759016017	2.62260545969815	0.00872602571599503	0.224246134167554
AT1G01580	803.033177202972	-0.38789507380585	0.271908254437846	-1.42656601068548	0.153705027193596	0.692225561096219
AT1G01590	69.7713214908397	0.136912331858505	0.530658221206277	0.258004731458376	0.79640325564618	0.974763436568066
AT1G01600	347.014440825734	0.519642142577581	0.341222440154852	1.52288384767942	0.127787767529779	0.657752959853721
AT1G01610	5786.55528056353	0.448789415651278	0.312301931513224	1.43703695163434	0.150707494258408	0.686928337787135
AT1G01620	30917.5736577672	0.073624863105317	0.196149932466783	0.375349928391053	0.707400238424815	0.961396267623141
AT1G01630	5780.90760446954	0.378172786254613	0.234247601474762	1.61441476400926	0.106437491427041	0.625205164097168
AT1G01640	2131.02078036893	-0.250181060161141	0.200009494895411	-1.25084591754989	0.210990698553603	0.757682729924094
AT1G01650	13369.0322869509	0.0784259141161051	0.135624400336113	0.578258144712493	0.56308984809253	0.92782177774519
AT1G04027	402.368399192774	-0.304969150040545	0.259034686058945	-1.1773293943003	0.239064058980353	0.779494016485075
AT1G01660	1072.65305800452	0.181837222918768	0.34285207857733	0.530366400790991	0.595857916805413	0.934944922313445
AT1G01670	888.92675110697	0.0218229784962371	0.298629822405456	0.0730770233208912	0.941744825496795	0.994147188580049
AT1G01680	3245.78902709333	0.604328634377077	0.748965614419118	0.806884351888147	0.419733115013315	0.878838761161207
AT1G01690	780.454006646907	-0.383121380526284	0.128921694837411	-2.97173707659876	0.00296120152749117	0.128137617172802
AT1G01695	135.641355926102	-0.425884957624071	0.269619978680651	-1.57957492507818	0.114204245407692	0.639518920257957
AT1G04033	9.54298349072928	1.25438149742398	0.797902710673044	1.57209830301978	0.115927755010279	0.642752297082166
AT1G04037	95.1912524628698	0.343138325596746	0.245889359152163	1.39549888120373	0.162865451933749	0.70313606438042
AT1G01700	541.11739060622	-0.0960954028136141	0.150530995514189	-0.638376186149358	0.523228828878516	0.915432200176745
AT1G01710	6385.77118836207	0.167763720719465	0.117375284774528	1.42929340739604	0.152919920055788	0.691328734094494
AT1G01715	762.473646081862	0.0298416871879324	0.157164556717285	0.189875426185391	0.849406749214255	0.982143484557451
AT1G01720	47632.5935525047	-0.595876379056465	0.222394654918688	-2.67936466042463	0.00737620149873657	0.206077134380012
AT1G01725	2858.93939254114	-0.487270133753788	0.364813561090697	-1.33566891619099	0.181657513559956	0.726714782557714
AT1G04047	3115.17895368424	-0.535954380250668	0.331264386191175	-1.61790522190745	0.105683024748394	0.622985088155996
AT1G01730	17426.2663602343	-0.518443723385423	0.251826411575121	-2.05873450740399	0.0395196786320242	0.435561512597373
AT1G01740	19048.6521588623	-0.322696995063218	0.286270862778058	-1.12724358997514	0.25963950526197	0.796369438894885
AT1G01750	1282.84369545507	-0.203436636085513	0.344939252287732	-0.589775256762648	0.555341333294975	0.924503661803469
AT1G01760	658.748848471936	-0.304386680175469	0.271630852648902	-1.12058949565978	0.262462638334978	0.798182974470786
AT1G01770	5967.63094082518	-0.268499449724707	0.326658007437168	-0.821958879352903	0.411100300599966	0.876575338329903
AT1G01780	3601.199094315	-0.684894673510498	0.178314249596438	-3.8409419048705	0.000122563120960496	0.0202158440091957
AT1G01790	18302.6977936586	-0.135637686778968	0.264799629257695	-0.512227630979687	0.608491707184029	0.939373034607217
AT1G04063	388.953705180168	-0.723162447526223	0.189796196124763	-3.81020516897426	0.000138851512560868	0.0225882507878794
